Date,Name,NAV
05/23/2019,Fidelity Index World P Acc,1.8687,
05/24/2019,Fidelity Index World P Acc,1.8724,
05/28/2019,Fidelity Index World P Acc,1.8704,
05/29/2019,Fidelity Index World P Acc,1.8516,
05/30/2019,Fidelity Index World P Acc,1.8499,
05/31/2019,Fidelity Index World P Acc,1.8385,
06/03/2019,Fidelity Index World P Acc,1.8253,
06/04/2019,Fidelity Index World P Acc,1.8327,
06/05/2019,Fidelity Index World P Acc,1.8665,
06/06/2019,Fidelity Index World P Acc,1.8716,
06/07/2019,Fidelity Index World P Acc,1.8816,
06/10/2019,Fidelity Index World P Acc,1.9047,
06/11/2019,Fidelity Index World P Acc,1.9141,
06/12/2019,Fidelity Index World P Acc,1.8996,
06/13/2019,Fidelity Index World P Acc,1.9125,
06/14/2019,Fidelity Index World P Acc,1.9077,
06/17/2019,Fidelity Index World P Acc,1.9146,
06/18/2019,Fidelity Index World P Acc,1.9357,
06/19/2019,Fidelity Index World P Acc,1.9409,
06/20/2019,Fidelity Index World P Acc,1.9475,
06/21/2019,Fidelity Index World P Acc,1.9516,
06/24/2019,Fidelity Index World P Acc,1.9399,
06/25/2019,Fidelity Index World P Acc,1.9342,
06/26/2019,Fidelity Index World P Acc,1.9381,
06/27/2019,Fidelity Index World P Acc,1.9269,
06/28/2019,Fidelity Index World P Acc,1.9381,
07/01/2019,Fidelity Index World P Acc,1.9722,
07/02/2019,Fidelity Index World P Acc,1.9687,
07/03/2019,Fidelity Index World P Acc,1.9857,
07/04/2019,Fidelity Index World P Acc,1.9965,
07/05/2019,Fidelity Index World P Acc,1.9985,
07/08/2019,Fidelity Index World P Acc,1.9936,
07/09/2019,Fidelity Index World P Acc,1.9874,
07/10/2019,Fidelity Index World P Acc,1.9936,
07/11/2019,Fidelity Index World P Acc,1.9904,
07/12/2019,Fidelity Index World P Acc,1.9966,
07/15/2019,Fidelity Index World P Acc,2.001,
07/16/2019,Fidelity Index World P Acc,2.0196,
07/17/2019,Fidelity Index World P Acc,2.0182,
07/18/2019,Fidelity Index World P Acc,1.9949,
07/19/2019,Fidelity Index World P Acc,1.9915,
07/22/2019,Fidelity Index World P Acc,1.9953,
07/23/2019,Fidelity Index World P Acc,2.0028,
07/24/2019,Fidelity Index World P Acc,2.0021,
07/25/2019,Fidelity Index World P Acc,2.0131,
07/26/2019,Fidelity Index World P Acc,2.0129,
07/29/2019,Fidelity Index World P Acc,2.0398,
07/30/2019,Fidelity Index World P Acc,2.059,
07/31/2019,Fidelity Index World P Acc,2.0533,
08/01/2019,Fidelity Index World P Acc,2.0456,
08/02/2019,Fidelity Index World P Acc,2.0272,
08/05/2019,Fidelity Index World P Acc,1.9767,
08/06/2019,Fidelity Index World P Acc,1.9624,
08/07/2019,Fidelity Index World P Acc,1.9763,
08/08/2019,Fidelity Index World P Acc,1.977,
08/09/2019,Fidelity Index World P Acc,2.0079,
08/12/2019,Fidelity Index World P Acc,1.9938,
08/13/2019,Fidelity Index World P Acc,1.9837,
08/14/2019,Fidelity Index World P Acc,1.9876,
08/15/2019,Fidelity Index World P Acc,1.9451,
08/16/2019,Fidelity Index World P Acc,1.963,
08/19/2019,Fidelity Index World P Acc,1.9948,
08/20/2019,Fidelity Index World P Acc,2.0063,
08/21/2019,Fidelity Index World P Acc,1.9993,
08/22/2019,Fidelity Index World P Acc,1.9967,
08/23/2019,Fidelity Index World P Acc,1.9837,
08/27/2019,Fidelity Index World P Acc,1.955,
08/28/2019,Fidelity Index World P Acc,1.956,
08/29/2019,Fidelity Index World P Acc,1.9859,
08/30/2019,Fidelity Index World P Acc,2.0052,
09/02/2019,Fidelity Index World P Acc,2.0114,
09/03/2019,Fidelity Index World P Acc,2.0063,
09/04/2019,Fidelity Index World P Acc,1.9962,
09/05/2019,Fidelity Index World P Acc,1.9996,
09/06/2019,Fidelity Index World P Acc,2.0111,
09/09/2019,Fidelity Index World P Acc,2.0026,
09/10/2019,Fidelity Index World P Acc,2.0054,
09/11/2019,Fidelity Index World P Acc,2.0101,
09/12/2019,Fidelity Index World P Acc,2.0265,
09/13/2019,Fidelity Index World P Acc,2.0208,
09/16/2019,Fidelity Index World P Acc,2.0059,
09/17/2019,Fidelity Index World P Acc,2.0127,
09/18/2019,Fidelity Index World P Acc,2.0083,
09/19/2019,Fidelity Index World P Acc,2.0123,
09/20/2019,Fidelity Index World P Acc,2.0069,
09/23/2019,Fidelity Index World P Acc,2.0056,
09/24/2019,Fidelity Index World P Acc,2.0103,
09/25/2019,Fidelity Index World P Acc,1.9916,
09/26/2019,Fidelity Index World P Acc,2.0163,
09/27/2019,Fidelity Index World P Acc,2.0258,
09/30/2019,Fidelity Index World P Acc,2.0108,
10/01/2019,Fidelity Index World P Acc,2.0173,
10/02/2019,Fidelity Index World P Acc,1.9877,
10/03/2019,Fidelity Index World P Acc,1.9618,
